id,focus,signal,slack,drag,confidence,score,lane
l001,lineage depth,35,33,6,25,145,watch
l002,partition skew,35,34,6,55,176,watch
l003,quality gap,35,35,6,85,207,ship
l004,schema drift,35,36,18,25,112,hold
l005,lineage depth,35,37,18,55,143,watch
l006,partition skew,35,38,18,85,174,watch
l007,quality gap,35,39,34,25,67,hold
l008,schema drift,35,40,34,55,98,hold
l009,lineage depth,35,41,34,85,129,watch
l010,partition skew,60,42,6,25,229,ship
l011,quality gap,60,43,6,55,260,ship
l012,schema drift,60,44,6,85,291,ship
l013,lineage depth,60,45,18,25,196,watch
l014,partition skew,60,46,18,55,227,ship
l015,quality gap,60,47,18,85,258,ship
l016,schema drift,60,48,34,25,151,watch
l017,lineage depth,60,32,34,55,165,watch
l018,partition skew,60,33,34,85,196,watch
l019,quality gap,85,34,6,25,296,ship
l020,schema drift,85,35,6,55,327,ship
l021,lineage depth,85,36,6,85,358,ship
l022,partition skew,85,37,18,25,263,ship
l023,quality gap,85,38,18,55,294,ship
l024,schema drift,85,39,18,85,325,ship
l025,lineage depth,85,40,34,25,218,ship
l026,partition skew,85,41,34,55,249,ship
l027,quality gap,85,42,34,85,280,ship
